@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute leap-1 numeric
@attribute leap-2 numeric
@attribute leap-3 numeric
@attribute leap-4 numeric
@attribute leap-5 numeric
@attribute leap-6 numeric
@attribute leap-7 numeric
@attribute leap-8 numeric
@attribute leap-9 numeric
@attribute leap-10 numeric
@attribute leap-11 numeric
@attribute leap-12 numeric
@attribute leap-13 numeric
@attribute leap-14 numeric
@attribute leap-15 numeric
@attribute leap-16 numeric
@attribute leap-17 numeric
@attribute leap-18 numeric
@attribute leap-19 numeric
@attribute leap-20 numeric
@attribute leap-21 numeric
@attribute leap-22 numeric
@attribute leap-23 numeric
@attribute leap-24 numeric
@attribute leap-25 numeric
@attribute leap-26 numeric
@attribute leap-27 numeric
@attribute leap-28 numeric
@attribute leap-29 numeric
@attribute leap-30 numeric
@attribute leap-31 numeric
@attribute leap-32 numeric
@attribute leap-33 numeric
@attribute leap-34 numeric
@attribute leap-35 numeric
@attribute leap-36 numeric
@attribute leap-37 numeric
@attribute leap-38 numeric
@attribute leap-39 numeric
@attribute leap-40 numeric
@attribute leap-41 numeric
@attribute leap-42 numeric
@attribute leap-43 numeric
@attribute leap-44 numeric
@attribute leap-45 numeric
@attribute leap-46 numeric
@attribute leap-47 numeric
@attribute leap-48 numeric
@attribute leap-49 numeric
@attribute leap-50 numeric
@attribute leap-51 numeric
@attribute leap-52 numeric
@attribute leap-53 numeric
@attribute leap-54 numeric
@attribute leap-55 numeric
@attribute leap-56 numeric
@attribute leap-57 numeric
@attribute leap-58 numeric
@attribute leap-59 numeric
@attribute leap-60 numeric
@attribute amplitude numeric
@attribute frequency numeric

@data
1,'2024/11/13 08:18:57:067',2,0.049244,0.06992,0.04616,0.029586,0.043936,0.050911,0.0072,0.002505,0.001604,0.001008,0.110536,0.098069,0.098177,0.085899,0.093254,0.147107,0.019218,0.007975,0.00546,0.003541,0.062747,0.052516,0.040519,0.035805,0.048013,0.043541,0.008026,0.003952,0.002289,0.001509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
2,'2024/11/13 08:18:57:174',2,0.049436,0.070078,0.046745,0.030457,0.044379,0.050173,0.00627,0.002119,0.001039,0.000572,0.109685,0.099531,0.099922,0.087917,0.093182,0.14358,0.01748,0.006702,0.004016,0.002441,0.061966,0.051769,0.040381,0.036684,0.047386,0.042534,0.007473,0.003405,0.002034,0.001309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
3,'2024/11/13 08:18:57:178',2,0.049917,0.070486,0.047416,0.031252,0.045192,0.050136,0.006221,0.001954,0.000645,0.000136,0.110353,0.101578,0.10249,0.089949,0.094256,0.142004,0.01717,0.005836,0.002364,0.001079,0.06139,0.051233,0.040509,0.037418,0.047206,0.041605,0.006514,0.002535,0.001528,0.000971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
4,'2024/11/13 08:18:57:180',2,0.049884,0.070427,0.047323,0.03128,0.045209,0.049963,0.00613,0.001895,0.000572,0.000087,0.111394,0.103135,0.104399,0.091438,0.095665,0.141904,0.0177,0.005692,0.001694,0.000222,0.061468,0.051308,0.041221,0.038266,0.047661,0.041092,0.005878,0.002001,0.00102,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
5,'2024/11/13 08:18:57:181',2,0.049173,0.069642,0.046319,0.030679,0.044361,0.049242,0.005782,0.002091,0.00089,0.000456,0.110361,0.101811,0.102951,0.09059,0.094484,0.140956,0.017054,0.005724,0.001936,0.000584,0.061873,0.051718,0.042137,0.039051,0.048342,0.041044,0.005715,0.00188,0.000639,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
6,'2024/11/13 08:18:57:181',2,0.048145,0.068313,0.044843,0.030162,0.043231,0.048064,0.005368,0.002491,0.00129,0.000775,0.107876,0.098483,0.09881,0.089069,0.091646,0.1388,0.016307,0.006792,0.00314,0.001827,0.061973,0.051821,0.042349,0.039212,0.048529,0.041001,0.005663,0.001808,0.000513,0.000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
7,'2024/11/13 08:18:57:181',2,0.047064,0.066767,0.043247,0.030036,0.042554,0.046611,0.00525,0.002732,0.001537,0.000951,0.104933,0.09444,0.093231,0.088501,0.090584,0.135424,0.015512,0.008168,0.004381,0.002764,0.061389,0.051305,0.041574,0.038635,0.047937,0.040688,0.005371,0.001688,0.000641,0.000299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
8,'2024/11/13 08:18:57:182',2,0.046199,0.065389,0.041891,0.030434,0.042201,0.046175,0.006046,0.002743,0.001577,0.000983,0.102062,0.090502,0.087182,0.089319,0.090767,0.130767,0.015617,0.008968,0.005223,0.003325,0.060308,0.050502,0.040325,0.037975,0.047014,0.040353,0.005203,0.001916,0.001026,0.000605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
9,'2024/11/13 08:18:57:197',2,0.045898,0.064404,0.040959,0.031229,0.042164,0.045757,0.006419,0.002512,0.001396,0.000866,0.099678,0.087288,0.081549,0.091296,0.091843,0.12576,0.016424,0.008654,0.005332,0.003416,0.058839,0.049497,0.038783,0.037412,0.04594,0.03978,0.005334,0.001972,0.001193,0.000758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
10,'2024/11/13 08:18:57:210',2,0.046126,0.064108,0.040683,0.03235,0.04254,0.045474,0.006475,0.002144,0.001091,0.000641,0.098741,0.085839,0.077657,0.094617,0.093874,0.122606,0.016334,0.007816,0.005043,0.003172,0.057446,0.048674,0.037427,0.037297,0.045166,0.03913,0.005198,0.001985,0.001278,0.000815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
11,'2024/11/13 08:18:57:232',2,0.046622,0.064284,0.040894,0.03347,0.043292,0.045399,0.006439,0.001823,0.000709,0.000314,0.099145,0.086017,0.075642,0.098561,0.096118,0.119967,0.016356,0.006794,0.004124,0.002548,0.056381,0.048195,0.036486,0.037658,0.044862,0.038492,0.00469,0.00199,0.001233,0.000778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
12,'2024/11/13 08:18:57:246',2,0.046865,0.064359,0.041085,0.034057,0.043776,0.045351,0.006502,0.00178,0.00051,0.000057,0.10116,0.087357,0.075316,0.102367,0.098035,0.118179,0.016117,0.005528,0.002864,0.001643,0.055648,0.047986,0.035947,0.038255,0.044902,0.037862,0.003965,0.001735,0.000977,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
