@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute hand:tracking-1 numeric
@attribute hand:tracking-2 numeric
@attribute hand:tracking-3 numeric
@attribute hand:tracking-4 numeric
@attribute hand:tracking-5 numeric
@attribute hand:tracking-6 numeric
@attribute hand:tracking-7 numeric
@attribute hand:tracking-8 numeric
@attribute hand:tracking-9 numeric
@attribute hand:tracking-10 numeric
@attribute hand:tracking-11 numeric
@attribute hand:tracking-12 numeric
@attribute hand:tracking-13 numeric
@attribute hand:tracking-14 numeric
@attribute hand:tracking-15 numeric
@attribute hand:tracking-16 numeric
@attribute hand:tracking-17 numeric
@attribute hand:tracking-18 numeric
@attribute hand:tracking-19 numeric
@attribute hand:tracking-20 numeric
@attribute hand:tracking-21 numeric
@attribute hand:tracking-22 numeric
@attribute hand:tracking-23 numeric
@attribute hand:tracking-24 numeric
@attribute hand:tracking-25 numeric
@attribute hand:tracking-26 numeric
@attribute hand:tracking-27 numeric
@attribute hand:tracking-28 numeric
@attribute hand:tracking-29 numeric
@attribute hand:tracking-30 numeric
@attribute hand:tracking-31 numeric
@attribute hand:tracking-32 numeric
@attribute hand:tracking-33 numeric
@attribute hand:tracking-34 numeric
@attribute hand:tracking-35 numeric
@attribute hand:tracking-36 numeric
@attribute hand:tracking-37 numeric
@attribute hand:tracking-38 numeric
@attribute hand:tracking-39 numeric
@attribute hand:tracking-40 numeric
@attribute hand:tracking-41 numeric
@attribute hand:tracking-42 numeric
@attribute hand:tracking-43 numeric
@attribute hand:tracking-44 numeric
@attribute hand:tracking-45 numeric
@attribute hand:tracking-46 numeric
@attribute hand:tracking-47 numeric
@attribute hand:tracking-48 numeric
@attribute hand:tracking-49 numeric
@attribute hand:tracking-50 numeric
@attribute hand:tracking-51 numeric
@attribute hand:tracking-52 numeric
@attribute hand:tracking-53 numeric
@attribute hand:tracking-54 numeric
@attribute hand:tracking-55 numeric
@attribute hand:tracking-56 numeric
@attribute hand:tracking-57 numeric
@attribute hand:tracking-58 numeric
@attribute hand:tracking-59 numeric
@attribute hand:tracking-60 numeric
@attribute hand:tracking-61 numeric
@attribute hand:tracking-62 numeric
@attribute hand:tracking-63 numeric
@attribute hand:tracking-64 numeric
@attribute hand:tracking-65 numeric
@attribute hand:tracking-66 numeric
@attribute hand:tracking-67 numeric
@attribute hand:tracking-68 numeric
@attribute hand:tracking-69 numeric
@attribute hand:tracking-70 numeric
@attribute hand:tracking-71 numeric
@attribute hand:tracking-72 numeric
@attribute hand:tracking-73 numeric
@attribute hand:tracking-74 numeric
@attribute hand:tracking-75 numeric
@attribute hand:tracking-76 numeric
@attribute hand:tracking-77 numeric
@attribute hand:tracking-78 numeric
@attribute hand:tracking-79 numeric
@attribute hand:tracking-80 numeric
@attribute hand:tracking-81 numeric
@attribute hand:tracking-82 numeric
@attribute hand:tracking-83 numeric
@attribute hand:tracking-84 numeric
@attribute hand:tracking-85 numeric
@attribute hand:tracking-86 numeric
@attribute hand:tracking-87 numeric
@attribute hand:tracking-88 numeric
@attribute hand:tracking-89 numeric
@attribute hand:tracking-90 numeric
@attribute hand:tracking-91 numeric
@attribute hand:tracking-92 numeric
@attribute hand:tracking-93 numeric
@attribute hand:tracking-94 numeric
@attribute hand:tracking-95 numeric
@attribute hand:tracking-96 numeric
@attribute hand:tracking-97 numeric
@attribute hand:tracking-98 numeric
@attribute hand:tracking-99 numeric
@attribute hand:tracking-100 numeric
@attribute hand:tracking-101 numeric
@attribute hand:tracking-102 numeric
@attribute hand:tracking-103 numeric
@attribute hand:tracking-104 numeric
@attribute hand:tracking-105 numeric
@attribute hand:tracking-106 numeric
@attribute hand:tracking-107 numeric
@attribute hand:tracking-108 numeric
@attribute hand:tracking-109 numeric
@attribute hand:tracking-110 numeric
@attribute hand:tracking-111 numeric
@attribute hand:tracking-112 numeric
@attribute hand:tracking-113 numeric
@attribute hand:tracking-114 numeric
@attribute hand:tracking-115 numeric
@attribute hand:tracking-116 numeric
@attribute hand:tracking-117 numeric
@attribute hand:tracking-118 numeric
@attribute hand:tracking-119 numeric
@attribute hand:tracking-120 numeric
@attribute hand:tracking-121 numeric
@attribute hand:tracking-122 numeric
@attribute hand:tracking-123 numeric
@attribute hand:tracking-124 numeric
@attribute hand:tracking-125 numeric
@attribute hand:tracking-126 numeric
@attribute hand:tracking-127 numeric
@attribute hand:tracking-128 numeric
@attribute hand:tracking-129 numeric
@attribute hand:tracking-130 numeric
@attribute hand:tracking-131 numeric
@attribute hand:tracking-132 numeric
@attribute hand:tracking-133 numeric
@attribute hand:tracking-134 numeric
@attribute hand:tracking-135 numeric
@attribute hand:tracking-136 numeric
@attribute hand:tracking-137 numeric
@attribute hand:tracking-138 numeric
@attribute hand:tracking-139 numeric
@attribute hand:tracking-140 numeric
@attribute hand:tracking-141 numeric
@attribute hand:tracking-142 numeric
@attribute hand:tracking-143 numeric
@attribute hand:tracking-144 numeric
@attribute hand:tracking-145 numeric
@attribute hand:tracking-146 numeric
@attribute hand:tracking-147 numeric
@attribute hand:tracking-148 numeric
@attribute hand:tracking-149 numeric
@attribute hand:tracking-150 numeric
@attribute hand:tracking-151 numeric
@attribute hand:tracking-152 numeric
@attribute hand:tracking-153 numeric
@attribute hand:tracking-154 numeric
@attribute hand:tracking-155 numeric
@attribute hand:tracking-156 numeric
@attribute hand:tracking-157 numeric
@attribute hand:tracking-158 numeric
@attribute hand:tracking-159 numeric
@attribute hand:tracking-160 numeric
@attribute hand:tracking-161 numeric
@attribute hand:tracking-162 numeric
@attribute hand:tracking-163 numeric
@attribute hand:tracking-164 numeric
@attribute hand:tracking-165 numeric
@attribute hand:tracking-166 numeric
@attribute hand:tracking-167 numeric
@attribute hand:tracking-168 numeric
@attribute hand:tracking-169 numeric
@attribute hand:tracking-170 numeric
@attribute hand:tracking-171 numeric
@attribute hand:tracking-172 numeric
@attribute hand:tracking-173 numeric
@attribute hand:tracking-174 numeric
@attribute hand:tracking-175 numeric
@attribute hand:tracking-176 numeric
@attribute hand:tracking-177 numeric
@attribute hand:tracking-178 numeric
@attribute hand:tracking-179 numeric
@attribute hand:tracking-180 numeric
@attribute hand:tracking-181 numeric
@attribute hand:tracking-182 numeric
@attribute hand:tracking-183 numeric
@attribute hand:tracking-184 numeric
@attribute hand:tracking-185 numeric
@attribute hand:tracking-186 numeric
@attribute hand:tracking-187 numeric
@attribute hand:tracking-188 numeric
@attribute hand:tracking-189 numeric
@attribute hand:tracking-190 numeric
@attribute hand:tracking-191 numeric
@attribute hand:tracking-192 numeric
@attribute hand:tracking-193 numeric
@attribute hand:tracking-194 numeric
@attribute hand:tracking-195 numeric
@attribute hand:tracking-196 numeric
@attribute hand:tracking-197 numeric
@attribute hand:tracking-198 numeric
@attribute hand:tracking-199 numeric
@attribute hand:tracking-200 numeric
@attribute hand:tracking-201 numeric
@attribute hand:tracking-202 numeric
@attribute hand:tracking-203 numeric
@attribute hand:tracking-204 numeric
@attribute hand:tracking-205 numeric
@attribute hand:tracking-206 numeric
@attribute hand:tracking-207 numeric
@attribute hand:tracking-208 numeric
@attribute hand:tracking-209 numeric
@attribute hand:tracking-210 numeric
@attribute hand:tracking-211 numeric
@attribute hand:tracking-212 numeric
@attribute hand:tracking-213 numeric
@attribute hand:tracking-214 numeric
@attribute hand:tracking-215 numeric
@attribute hand:tracking-216 numeric
@attribute hand:tracking-217 numeric
@attribute hand:tracking-218 numeric
@attribute hand:tracking-219 numeric
@attribute hand:tracking-220 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2024/10/31 02:39:04:692',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,'2024/10/31 02:39:04:781',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,'2024/10/31 02:39:04:785',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,'2024/10/31 02:39:04:787',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,'2024/10/31 02:39:04:807',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,'2024/10/31 02:39:04:831',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,'2024/10/31 02:39:04:851',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,'2024/10/31 02:39:04:874',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,'2024/10/31 02:39:04:899',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,'2024/10/31 02:39:04:922',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
